WUI_Riskar,WUI_Area_m2,SUM_BurnArea_m2,BP_prop,COUNT_FIRE_UID,Freq_perYr,FRI_years
Ahualoa,15417610.775323868,0,0,0,0,NA
Honokaa,15322809.878965616,0,0,0,0,NA
Kapulena,4760792.73563242,0,0,0,0,NA
Kukuihaele,5844301.104332864,0,0,0,0,NA
Kapaau,18296246.321684122,10840.640000656247,5.925062337955228e-4,1,0.041666666666666664,24
Hawi,34301471.88333416,0,0,0,0,NA
Kailua,2769529.2704883814,319723.92068481445,0.11544341635661212,1,0.041666666666666664,24
Huelo,6745689.052736819,0,0,0,0,NA
Haiku,59587912.44148493,158503.5088315606,0.0026599943232985443,1,0.041666666666666664,24
Hailiimaile,9933820.184039593,795730.0367649794,0.08010312468142496,3,0.125,8
Makawao,6843779.471920013,0,0,0,0,NA
Piiholo,9324728.936174393,10242.432783842087,0.0010984161420615189,1,0.041666666666666664,24
Olinda,9812112.496162415,0,0,0,0,NA
Pukalani,9744121.870539308,1701400.7766069174,0.174607912258465,3,0.125,8
Kula 200,5400301.538808823,0,0,0,0,NA
Waiakoa,26645681.240516663,453310.9209241085,0.017012547618216526,2,0.08333333333333333,12
Lower Kula,13116420.219976425,0,0,0,0,NA
Upper Kula,11896143.526195854,0,0,0,0,NA
Wahikuli-Keokeo Homesteads,18406143.850885868,0,0,0,0,NA
Kula Hawaiian Homesteads,5692127.271405213,0,0,0,0,NA
Kuau,2113195.465606451,546051.6063425541,0.2584008981799734,2,0.08333333333333333,12
Paia,6268139.075383306,1678942.1759282127,0.26785337015285404,4,0.16666666666666666,6
Spreckelsville,4741450.060844839,752882.8126941919,0.15878746017205592,1,0.041666666666666664,24
Kahului,18120488.73354101,549884.6611938179,0.030346017112440334,3,0.125,8
Wailuku,12448497.435253143,0,0,0,0,NA
Waikapu,7191116.000121117,153359.2638924271,0.02132621193843127,2,0.08333333333333333,12
Wailuku Heights,5150961.990468979,0,0,0,0,NA
Waiehu,1643685.4280004501,0,0,0,0,NA
Waiehu Camp,5067856.476683378,0,0,0,0,NA
Waihee,1958161.4374710321,0,0,0,0,NA
Camp Maluhia,6244007.036087334,0,0,0,0,NA
Waiolai Gulch/Kahakuloa,9035582.597573042,0,0,0,0,NA
Kahakuloa,2595887.441580057,0,0,0,0,NA
