"Shape_Leng","Shape_Area","Island","WUI_Riskar","grass_mean","grass_median","pct_dom_grass"
0.0510214046975,9.32071910418e-05,"Maui","Maalaea",0.846725630174383,0.949697162246886,92.1339563862928
0.327918856891,0.00280756938152,"Maui","Kihei",0.841583760828216,0.900645634125833,94.3429994293718
0.164380746054,0.000525615944616,"Maui","Makena",0.739371957746711,0.732648907621195,88.7596899224806
0.0394556469115,9.7418477555e-05,"Maui","Ulupalakua",0.832473942091132,0.852799454756787,99.1791044776119
0.0526889014361,0.00017219819016,"Maui","Kanaio",0.885649516819461,0.891572497991193,100
0.0915020137951,0.000391505093723,"Maui","Kipahulu",0.933351369472796,0.994267511816813,97.7571825764597
0.0877403296896,0.000297743044599,"Maui","Koali",0.965058273138597,1,98.8530990727184
0.0970203005076,0.000408965881903,"Maui","Makaalae",0.940559741112166,1,98.3126110124334
0.0614511174496,0.000128280206622,"Maui","Hamoa",0.947811845356714,1,97.6203966005666
0.158251688174,0.000788650154482,"Maui","Hana",0.91263476773611,1,93.2075471698113
0.118281781828,0.000687199234173,"Maui","Kaeleku",0.970754112003632,1,99.8731635133707
0.137160039942,0.000390393733468,"Maui","Upper Nahiku",0.916536011945414,0.96472343590641,98.249860361199
0.0644279070997,0.00026043338708,"Maui","Nahiku",0.907015320442689,0.949749694152291,98.7458193979933
0.0599042637535,0.000210171144578,"Maui","Wailua",0.896265527793407,0.981432251412203,95.3038674033149
0.0385473979286,8.75089952934e-05,"Hawaii","Puu Waawaa",0.834794666237817,0.927123881706297,88.1720430107527
0.143359774732,0.00117675133507,"Hawaii","Kohala Estates/Kohala by the sea",0.828685832964358,0.85680412842055,96.9788706289386
0.0811601681166,0.000409688105812,"Hawaii","Kohala Ranch",0.951626341651976,0.972170692424817,99.9468367889421
0.0622824785581,0.000220281326529,"Hawaii","Kawaihae Makai",0.755777123270809,0.75759368976901,99.2419248516809
0.125454902987,0.000706223349037,"Hawaii","Hapuna/Mauna Kea",0.75350173124075,0.741157082338181,94.0736896730669
0.210652746898,0.00157941335828,"Hawaii","Kawaihae Road Subdivisions",0.894272255181866,0.937313143367926,99.0795710801233
0.308023343697,0.00380216297114,"Hawaii","Waimea",0.910016062374593,1,94.1331651086769
0.0582680942524,0.000188512769263,"Hawaii","Waikokoe Road homes",0.930840051926576,0.985944524781972,98.1146594844171
0.0525792716981,0.000112613774945,"Hawaii","Wailea Bay",0.670013453117275,0.680564492083431,92.4773022049287
0.11683082483,0.000390075694704,"Hawaii","Puako",0.538571244802319,0.530529957766456,54.8865128493716
0.131685903954,0.000674687826628,"Hawaii","Mauna Lani",0.397090086906052,0.359862940856771,41.703647580907
0.0991266405389,0.000421127743228,"Hawaii","Waikoloa",0.416015089122841,0.328416514581048,42.2353760445682
0.138176023285,0.00134518215096,"Hawaii","Waikoloa Village",0.844347893952657,0.879455655257138,96.8797236018139
0.110035610157,0.000603352174222,"Hawaii","Waikii",0.949560021618245,1,97.23291626564
0.0856882060696,0.000551810173498,"Hawaii","Puu Anahulu",0.827819830070906,0.899934857197445,91.2677538137822
